"Year","DocumentType","CitedBy","SourceTitle","Title","DOI","EID","HasImmersive","Abstract"
"2026","Article","0","Transportmetrica B","A novel multi-agent trajectory prediction method for maneuver and collision optimization","10.1080/21680566.2025.2609608","2-s2.0-105026697399","False","Accurate multi-agent trajectory prediction, facilitated by bird?s-eye view from Unmanned Aerial Vehicles (UAVs), is fundamental to proactive traffic management and intelligent driving. However, dense traffic introduces pronounced maneuvering and collision challenges that complicate accurate trajectory forecasting, especially during lane changes and merges. We propose MGC-HCA, a multi-agent trajectory prediction model capable of achieving high prediction performance while addressing maneuverability and collision constraints. To enhance temporal feature extraction, particularly for maneuver-related features, a novel Hybrid Channel Attention (HCA) mechanism is employed. Furthermore, the Unscented Kalman Filter (UKF) is integrated to refine uncertainty estimation in multimodal predictions. Additionally, a collision-cone loss function is introduced to optimize collision avoidance. Comprehensive experiments on three UAV-recorded road traffic datasets (highD, inD, and rounD) demonstrate that MGC-HCA significantly outperforms state-of-the-art methods in trajectory prediction accuracy and collision mitigation, thereby provided a robust tool for enhancing road safety. ? 2025 Hong Kong Society for Transportation Studies Limited."
"2020","Conference review","0","Advances in Intelligent Systems and Computing","20th Polish Control Conference, PCC 2020","","2-s2.0-85087736451","False","The proceedings contain 129 papers. The special focus in this conference is on Polish Control. The topics include: New Implementation of Discrete-Time Fractional-Order PI Controller by Use of Model Order Reduction Methods; Autonomous Delivery Robot AQUILO; customizable Inverse Sensor Model for Bayesian and Dempster-Shafer Occupancy Grid Frameworks; blurNet: Keeping Collected Data Private with a Neural Network Based Pipeline; generic Sensor Model for Object Detection Algorithms Validation; safe and Goal-Based Highway Maneuver Planning with Reinforcement Learning; well Convergent and Computationally Efficient Quaternion Loss; VGG Based Unsupervised Anomaly Detection in Multivariate Time Series; PC-Based Simulation Environment for the Engine Control Optimiser Hardware-in-the-Loop Testing; The Concept of the Control System for the A-EVE Autonomous Electric Vehicle; on the Optimal Topology of Time-Delay Control Systems; ESO Architectures in the Trajectory Tracking ADR Controller for a Mechanical System: A Comparison; active Disturbance Rejection Control of High-Order Flat Underactuated Systems: Mass-Spring Benchmark Problem; Error-Based Active Disturbance Rejection Altitude/Attitude Control of a Quadrotor UAV; the Novel Approach to the Tuning of the Reduced-Order Active Disturbance Rejection Controller for Second-Order Processes; comparison of Robustness of Selected Speed Control Systems Applied for Two Mass System with Backlash; discrete-Time Active Disturbance Rejection Control: A Delta Operator Approach; fault-Tolerant Design of a Balanced Two-Wheel Scooter; a Fuzzy Logic Approach to Remaining Useful Life Estimation of Ball Bearings; detection of State-Multiplicative Faults in Discrete-Time Linear Systems; fault-Tolerant Tracking Control for Takagi?Sugeno Fuzzy Systems Under Actuator and Sensor Faults; network-Based Approach to Increase Logical Reliability of a Vehicle E/E-Architecture."
