"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Huang A.; Li H.; Miao H.; Hao Y.; Sui Y.","Huang, Anran (60348478600); Li, Hongyi (60348211200); Miao, Hongsong (57191610800); Hao, Yi (59495426500); Sui, Yangyi (13104522900)","60348478600; 60348211200; 57191610800; 59495426500; 13104522900","Physics-Constrained Gaussian Process Regression With Mag-Potential Kernel for Aeromagnetic Gradient Tensor Interpolation","2026","IEEE Transactions on Geoscience and Remote Sensing","64","","5902017","","","0","10.1109/TGRS.2026.3656579","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028387218&doi=10.1109%2FTGRS.2026.3656579&partnerID=40&md5=408dbf3ee9765f9235eff8237bb7984f","Aeromagnetic gradient tensor (AMGT) interpolation is a critical but challenging step in geophysical data processing, essential for transforming sparse, nonplanar survey data into regular grids for interpretation. Existing methods often fail to enforce the complete physical constraints of the magnetic field—namely, its curl-free and divergence-free nature—leading to physically inconsistent and inaccurate results. To address these limitations, this article introduces a physics-constrained Gaussian process regression (GPR) framework. The core of our contribution is the novel mag-potential (MP) kernel function derived directly from first principles that the magnetic scalar potential is a harmonic function. This construction ensures that any tensor field realization from the GP priori inherently satisfies both the curl-free (symmetry) and divergence-free (zero-trace) constraints, enabling a physically sound, joint interpolation of all tensor components. The efficacy of the method is validated through comprehensive experiments on both synthetic datasets and real-world field data acquired by a UAV-borne tensor gradiometer. Results demonstrate that the proposed mag-potential GPR (MP-GPR) method substantially outperforms state-of-the-art benchmarks, including conventional Kriging with continuation and a curl-free GPR model. It not only achieves significantly lower interpolation errors and higher structural similarity but also produces demonstrably more physically consistent fields. Crucially, our method shows exceptional robustness, yielding stable results across different flight dynamics and survey parameters. The proposed MP kernel provides a principled and effective way to integrate fundamental physical laws into a machine learning framework, delivering a more reliable and accurate tool for the processing of AMGT data. © 1980-2012 IEEE.","Aeromagnetic gradient tensor (AMGT); Gaussian process regression (GPR); geophysical interpolation; physics-informed machine learning (PIML); potential fields","Data handling; Gaussian distribution; Gaussian noise (electronic); Geophysics; Kriging; Learning systems; Machine learning; Metadata; Regression analysis; Tensors; Aeromagnetic; Aeromagnetic gradient tensor; Gaussian process regression; Geophysical interpolation; Gradient tensors; Machine-learning; Physic-informed machine learning; Potential field; Tensor interpolations; accuracy assessment; aeromagnetic survey; data set; Gaussian method; geophysical method; interpolation; machine learning; potential field; regression analysis; unmanned vehicle; Flight dynamics","Article","Final","","Scopus","2-s2.0-105028387218"
"Shi J.; Zhou S.; Guo F.; Li C.","Shi, Jiaqi (59323937900); Zhou, Suiping (9335839800); Guo, Feng (58306229700); Li, Chenyang (57564366700)","59323937900; 9335839800; 58306229700; 57564366700","Multi-Task Learning-Based Adaptive Soft Actor-Critic for Real-Time UAV Trajectory Planning","2025","Proceedings - 2025 IEEE International Symposium on Parallel and Distributed Processing with Applications, ISPA 2025","","","","1216","1222","0","10.1109/ISPA67752.2025.00167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030137050&doi=10.1109%2FISPA67752.2025.00167&partnerID=40&md5=5a2801141e254a10be7ef37e1c04054a","Model-free Deep Reinforcement Learning (DRL) algorithms are widely used in UAV trajectory planning but face challenges such as high sampling complexity, hyperparameters sensitivity, and poor adaptability. This paper proposes a novel framework that integrates Multi-task Learning (MTL) with an adaptive Soft Actor-Critic (ASAC) algorithm for real-time UAV trajectory planning. The ASAC method combines MTL with an off-policy actor-critic architecture, where separate Critic networks evaluate individual tasks, and a shared Actor network generates actions. An automatic temperature adjustment mechanism is introduced to enhance adaptability and stability during training. This framework optimizes the reward-entropy trade-off, improving gradient flow, convergence speed, and robustness. Additionally, a novel reward function is proposed to improve exploration efficiency and reduce sampling complexity. Experimental results demonstrate that the framework reduces sampling complexity, accelerates convergence, and outperforms traditional SAC and other benchmarks, while enhancing stability and adaptability in dynamic environments.  © 2025 IEEE.","Adaptive Soft Actor-Critic; Multi-task Learning; Trajectory Planning; Unmanned Aerial Vehicle","Antennas; Complex networks; Deep learning; Deep reinforcement learning; Learning algorithms; Learning systems; Multi-task learning; Reinforcement learning; Trajectories; Unmanned aerial vehicles (UAV); Actor critic; Adaptive soft actor-critic; Aerial vehicle; Hyper-parameter; Model free; Multitask learning; Real- time; Reinforcement learning algorithms; Trajectory Planning; Unmanned aerial vehicle; Economic and social effects","Conference paper","Final","","Scopus","2-s2.0-105030137050"
"Bicer Y.; Moghadam M.; Sahin M.C.; Eroglu B.; Ure N.K.","Bicer, Yunus (57209855670); Moghadam, Majid (57197448076); Sahin, M. Cagatay (57209852728); Eroglu, Batuhan (57203660538); Ure, N. Kemal (34882521500)","57209855670; 57197448076; 57209852728; 57203660538; 34882521500","Vision-based uav guidance for autonomous landing with deep neural networks","2019","AIAA Scitech 2019 Forum","","","","","","26","10.2514/6.2019-0140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083941735&doi=10.2514%2F6.2019-0140&partnerID=40&md5=ccee5cf63546ad54a5a8adb177a38a84","Landing is one of the most critical phases of the flight during the operation of Unmanned Aerial Vehicles (UAVs). Even though flight control systems could perform automatic landing in nominal conditions, sensor failures in this phase might result in catastrophic crashes. In this study, we have trained an end-to-end Deep Learning (DL) model using the raw image inputs to estimate the relative heading angle of the aircraft with respect to the runway of the airport, when the connection with the corresponding sensor (beacon) is broken. To this end, we have used a closed-loop position trajectory following guidance and control system in order to train the network. The prediction performance of the network is shown for a number of unseen landing scenarios. Afterward, the estimated heading angle is fed into the guidance block in order to perform the autonomous landing using the angles predicted with the network. The main contribution of our work is to use an end-to-end architecture of the DL agent to estimate the observed state using raw image inputs, which increases the robustness with respect to sensor failures. � 2019 by German Aerospace Center (DLR). Published by the American Institute of Aeronautics and Astronautics, Inc.","","Aircraft accidents; Aircraft landing; Antennas; Aviation; Flight control systems; American Institute of Aeronautics and Astronautics; Automatic landing; Autonomous landing; Critical phasis; German aerospace centers; Guidance and control system; Prediction performance; Trajectory following; Deep neural networks","Conference paper","Final","","Scopus","2-s2.0-85083941735"
"CAO Z.; CHEN G.","CAO, Zhengyang (57898042200); CHEN, Gang (55566082200)","57898042200; 55566082200","Enhanced deep reinforcement learning for integrated navigation in multi-UAV systems","2025","Chinese Journal of Aeronautics","38","8","103497","","","5","10.1016/j.cja.2025.103497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009776682&doi=10.1016%2Fj.cja.2025.103497&partnerID=40&md5=387f580ce3568afb2462abba3037e400","In multiple Unmanned Aerial Vehicles (UAV) systems, achieving efficient navigation is essential for executing complex tasks and enhancing autonomy. Traditional navigation methods depend on predefined control strategies and trajectory planning and often perform poorly in complex environments. To improve the UAV-environment interaction efficiency, this study proposes a multi-UAV integrated navigation algorithm based on Deep Reinforcement Learning (DRL). This algorithm integrates the Inertial Navigation System (INS), Global Navigation Satellite System (GNSS), and Visual Navigation System (VNS) for comprehensive information fusion. Specifically, an improved multi-UAV integrated navigation algorithm called Information Fusion with Multi-Agent Deep Deterministic Policy Gradient (IF-MADDPG) was developed. This algorithm enables UAVs to learn collaboratively and optimize their flight trajectories in real time. Through simulations and experiments, test scenarios in GNSS-denied environments were constructed to evaluate the effectiveness of the algorithm. The experimental results demonstrate that the IF-MADDPG algorithm significantly enhances the collaborative navigation capabilities of multiple UAVs in formation maintenance and GNSS-denied environments. Additionally, it has advantages in terms of mission completion time. This study provides a novel approach for efficient collaboration in multi-UAV systems, which significantly improves the robustness and adaptability of navigation systems. © 2025 The Author(s)","Information fusion; Integrated navigation; MADDPG; Multi-UAV system; Reinforcement learning","Air navigation; Antennas; Deep learning; Deep reinforcement learning; Global positioning system; Inertial navigation systems; Information fusion; Learning algorithms; Multi agent systems; Unmanned aerial vehicles (UAV); Aerial vehicle; Deterministics; Global Navigation Satellite Systems; Integrated navigation; MADDPG; Multi agent; Multi-unmanned aerial vehicle system; Navigation algorithms; Reinforcement learnings; Unmanned aerial vehicle systems; Reinforcement learning","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105009776682"
"Rose C.; McMurray R.; Hadi M.U.","Rose, Cara (58912564700); McMurray, Robert (16203640200); Hadi, Muhammad Usman (57194410682)","58912564700; 16203640200; 57194410682","Enhancing fault detection and performance for UAVs with digital twin systems in search and rescue missions","2025","Robotics and Autonomous Systems","194","","105186","","","4","10.1016/j.robot.2025.105186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014924034&doi=10.1016%2Fj.robot.2025.105186&partnerID=40&md5=85db7e0dcc7b0405c1234f4d8ab0b379","This study presents the development of a Digital Twin for the ""Made in UU"" Field-based Autonomous LiDAR Control for Obstacle Navigation (FALCON), enabling advanced control systems and robust fault detection. The Digital Twin integrates real-time flight data and fault scenarios to enhance UAV stability under challenging conditions. The FALCON was modelled using real-time flight data, with traditional control methods, including Proportional-Integral-Derivative (PID), Linear Quadratic Regulator (LQR), and Linear Quadratic Gaussian (LQG), combined with optimization techniques such as Particle Swarm Optimization (PSO), Genetic Algorithm (GA), and Mayfly Algorithm (MA) to tune state feedback gains. Simulations showed GA-based tuning outperformed manual tuning, PSO, and MA in improving UAV stability and fault recovery. For PID, manual tuning achieved the fastest pitch settling with a 73.8 % improvement, while PSO-tuned PID delivered the quickest roll (52.8 %) and yaw (47.2 %) responses. The PSO-tuned LQG controller minimized settling times across all dynamics. Full State Feedback and PID controllers performed comparably, with GA achieving the best roll settling and both GA and PSO reaching 0.1 s in yaw. Overall, LQR with GA tuning provided the most balanced performance. These findings highlight GA's robustness in challenging conditions, significantly improving UAV safety and efficiency in search and rescue, environmental monitoring, and disaster response. FALCON UAV and its Digital Twin offer a low-cost, IoT-integrated platform with real-time fault detection and optimal control, paving the way for next-generation UAV systems. Future work involves integrating machine learning for dynamic fault detection and real-world deployments. © 2025 The Author(s)","Fault detection; Genetic algorithm; Optimal control; Particle swarm optimization; UAV","Aircraft control; Aircraft detection; Controllers; Digital twin; Flight control systems; Flight dynamics; Learning systems; Navigation; Optimal control systems; Proportional control systems; Robust control; State feedback; Swarm intelligence; Three term control systems; Tuning; Two term control systems; Faults detection; Flight data; Optimal controls; Particle swarm; Particle swarm optimization; Performance; Proportional integral derivatives; Real- time; Search and rescue; Swarm optimization; Fault detection; Genetic algorithms; Particle swarm optimization (PSO); Unmanned aerial vehicles (UAV)","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105014924034"
"","","","ICCNS 2021 - 2021 11th International Conference on Communication and Network Security","2021","ACM International Conference Proceeding Series","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127230613&partnerID=40&md5=51394a0383bd8a1858ce19f3cd1c20ee","The proceedings contain 14 papers. The topics discussed include: the side-channel vulnerability in network protocol; strengthening the security of deniable authentication scheme using zero-knowledge proof; optimization of spectrum efficiency in UAV cognitive communication network based on trajectory planning; bidirectional underwater blue-green laser communication based on OFDM modulation; shallow underground space exploration and IoT security monitoring; the role of financial technology for development of micro, small and medium enterprises (MSMEs) in Indonesia; research on topology evolution of autonomous system network; lightweight hybrid detection of data exfiltration using DNS based on machine learning; mission-oriented networks robustness based on cascade model; research on the deep integration of 5G technology and social security management of police department; and analysis of software accounting effectiveness on data sales in bliss kitchen.","","","Conference review","Final","","Scopus","2-s2.0-85127230613"
"Yuan Z.; Bi Y.; Fan Y.; Liu Y.; Ma L.; Zhao L.; He Q.","Yuan, Zimeng (58561703900); Bi, Yuanguo (23388616200); Fan, Yanbo (57918509400); Liu, Yuheng (57271485700); Ma, Lianbo (35117920700); Zhao, Liang (57190893959); He, Qiang (57193014262)","58561703900; 23388616200; 57918509400; 57271485700; 35117920700; 57190893959; 57193014262","Trajectory Optimization and Power Allocation for Multi-UAV Wireless Networks: A Communication-Based Multi-Agent Deep Reinforcement Learning Approach","2025","IEEE Transactions on Computers","","","","","","4","10.1109/TC.2025.3587976","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010485427&doi=10.1109%2FTC.2025.3587976&partnerID=40&md5=6da7a5fa2953cb2d59df512c6724cae6","Unmanned Aerial Vehicles (UAVs) play a crucial role in next-generation mobile communication systems, serving as aerial base stations to provide services when ground base stations fail to meet coverage requirements. However, trajectory planning and power allocation for collaborative UAVs as Aerial Base Stations (UAV-ABSs) face several challenges, including energy limitations, flight time constraints, high optimization complexity due to dynamic environment interactions, and insufficient decision-making information. To address these challenges, this paper proposes a multi-agent reinforcement learning algorithm, namely Communication Actor Centralized Attention Critic Algorithm (CATEN), to jointly optimize the flight trajectory and power allocation strategies of UAV-ABSs. The proposed algorithm aims to maximize the number of users meeting Quality of Service (QoS) requirements while minimizing UAV-ABSs energy consumption. To achieve this, firstly, an information sharing mechanism is designed to improve the collaboration efficiency among UAV-ABSs. It leverages distributed storage, intelligent scheduling of UAV-ABSs interaction experiences, and gating units to enhance information screening and fusion. Secondly, a multihead attention critic network is proposed to capture correlations among UAV-ABSs from different subspaces. This allows the network to prioritize value information, reduce redundancy, and strengthen UAV-ABSs collaboration and decision-making capabilities. Simulation results demonstrate that CATEN achieves better performance in terms of the number of served users and energy consumption compared to existing algorithms, exhibiting good robustness and adaptability in dynamic environments. © 1968-2012 IEEE.","deep reinforcement learning; multi-UAV trajectory planing; power allocation; UAV networks","Antennas; Base stations; Behavioral research; Decision making; Deep learning; Deep reinforcement learning; Distributed computer systems; Dynamics; Energy utilization; Flight paths; Intelligent agents; Learning algorithms; Multi agent systems; Optimization; Quality of service; Wireless networks; Aerial vehicle; Decisions makings; Dynamic environments; Multi-unmanned aerial vehicle trajectory planing; Power allocations; Reinforcement learnings; Unmanned aerial vehicle network; Vehicle network; Vehicle trajectories; Unmanned aerial vehicles (UAV)","Article","Article in press","","Scopus","2-s2.0-105010485427"
"Li L.; Chen W.; Qian C.; Du H.; Zhang X.","Li, Lun (58083655300); Chen, Weizhe (57345382200); Qian, Chenxu (58083813400); Du, Hang (57069429100); Zhang, Xuebo (59914079600)","58083655300; 57345382200; 58083813400; 57069429100; 59914079600","SR-GRAT: Symmetric-Response Guided Reinforcement Learning With Adaptive Targeting for Agile Fixed-Wing UAV Control","2026","IEEE Transactions on Cybernetics","","","","","","0","10.1109/TCYB.2026.3657746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029966416&doi=10.1109%2FTCYB.2026.3657746&partnerID=40&md5=b84fe988fd605fe3f5c61cc9835bec81","This article presents a novel curriculum framework named symmetric-response guided reinforcement learning (RL) for autopilot control of fixed-wing aircraft, driven by an adaptive bidirectional learning curve and a dynamic target scheduling mechanism. Unlike traditional methods with static or overly smoothed learning progressions, the proposed method dynamically adjusts the learning curve’s slope in both directions based on historical reward trends, allowing the learning intensity to increase or decrease as needed. This bidirectional adjustment ensures that the agent is neither overwhelmed by excessively difficult tasks nor stagnated by too-easy ones, leading to better stability and faster convergence. Furthermore, dynamic target generation within an episode from static target constraints enables both reward amplification and implicit enforcement of maneuver rate constraints, improving learning efficiency without manual reward shaping. Experiments on trajectory tracking tasks show that the proposed controller achieves faster convergence, reduced overshoot, and more accurate tracking under turbulence. Further tests on waypoint navigation and dynamic pursuit demonstrate its superiority over the baseline, achieving more precise and timely interception. These results highlight the robustness and applicability of the controller to complex aerial missions such as autonomous air combat. © 2013 IEEE.","Autopilot control; deep reinforcement learning (RL); fixed-wing aircraft; learning curve","Adaptive control systems; Agile manufacturing systems; Air navigation; Aircraft control; Antennas; Controllers; Curricula; Deep learning; Deep reinforcement learning; Dynamics; Fighter aircraft; Learning algorithms; Reinforcement learning; Unmanned aerial vehicles (UAV); Autopilot control; Deep reinforcement learning; Dynamic target; Fast convergence; Fixed-wing aircraft; Learning curves; Reinforcement learnings; Symmetric response; Target scheduling; UAV control; Fixed wings","Article","Article in press","","Scopus","2-s2.0-105029966416"
"Yang B.; Lu Y.; Wan R.; Hu H.; Yang C.; Ni R.","Yang, Biao (57189494523); Lu, Yanan (59111986300); Wan, Rui (59445637800); Hu, Hongyu (55740761700); Yang, Changchun (55706672300); Ni, Rongrong (57200014809)","57189494523; 59111986300; 59445637800; 55740761700; 55706672300; 57200014809","Meta-IRLSOT++: A meta-inverse reinforcement learning method for fast adaptation of trajectory prediction networks","2024","Expert Systems with Applications","240","","122499","","","53","10.1016/j.eswa.2023.122499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177493939&doi=10.1016%2Fj.eswa.2023.122499&partnerID=40&md5=4266312e91c21a79a261beaf1b241084","Recent research on pedestrian trajectory prediction based on deep learning has made significant progress. However, the previous methods do not deeply explore the relationship between scene information and trajectory. Moreover, the training model requires massive data and only targets specific scenes, so the prediction performance is poor when the new scene samples are limited. To solve the above problems, a meta-inverse reinforcement learning-based framework, dubbed Meta-IRLSOT++, is proposed in this work. IRLSOT++ improves the solid baseline IRLSOT, and the main contributions are as follows: (1) An inverse reinforcement learning framework is introduced to explore the trajectory–scene association to achieve task-level scene understanding, enhancing the correlation between trajectory and scene. The trajectory heat maps describing pedestrians dynamic characteristics are leveraged to align better the trajectory and scene semantic segmentation predicted by TopFormer. (2) A Transformer-based encoder–decoder network is proposed to fuse the trajectory and plan cues for better generating multi-modal trajectories with multi-head attention. The social graph attention and pseudo-oracle predictor are introduced to capture pedestrians’ social interactions and intent states, ameliorating trajectory prediction performance. (3) Meta-learning is leveraged to achieve collaborative training based on IRLSOT++ to improve the model generalization in new scenes, enabling fast adaptation of trajectory prediction. Experimental results on the Stanford Drone Dataset (SDD) indicate that IRLSOT++ can precisely forecast future trajectories by improving IRLSOT, decreasing Average Displacement Error/ Final Displacement Error (ADE/FDE) values from 9.66/13.05 to 8.36/12.28. Moreover, the meta-learning strategy quickly adapts IRLSOT++ to the new scene, achieving ADE/FDE values of 7.31/11.02 and 15.42/26.55 when Tpred is set to 12 and 24, respectively. Both quantitative and qualitative experimental results show that Meta-IRLSOT++ has accuracy and fast adaptability, which is beneficial for real-world trajectory prediction tasks. © 2023 Elsevier Ltd","Fast adaptation; Inverse reinforcement learning; Meta-learning; Trajectory prediction; Transformer","Deep learning; Forecasting; Inverse problems; Learning systems; Reinforcement learning; Semantic Segmentation; Semantics; Displacement errors; Error values; Fast adaptations; Inverse reinforcement learning; Metalearning; Prediction performance; Recent researches; Reinforcement learning method; Trajectory prediction; Transformer; Trajectories","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85177493939"
"Xu K.; Long K.; Lu Y.; Zhang H.","Xu, Kexin (58173992600); Long, Keping (7201656656); Lu, Yang (55803922900); Zhang, Haijun (57189345966)","58173992600; 7201656656; 55803922900; 57189345966","Joint Secure Transmission and Trajectory Optimization for Reconfigurable Intelligent Surface-aided Non-Terrestrial Networks; [可重构智能超表面辅助的非地面网络安全传输与轨迹优化]","2025","Dianzi Yu Xinxi Xuebao/Journal of Electronics and Information Technology","47","2","","296","304","0","10.11999/JEIT240981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000385308&doi=10.11999%2FJEIT240981&partnerID=40&md5=eb3ae7a3aeded6b389f68fb40db3381f","Objective The proliferation of technologies such as the Internet of Things, smart cities, and next-generation mobile communications has made Non-Terrestrial Networks (NTNs) increasingly important for global communication. Future communication systems are expected to rely heavily on NTNs to provide seamless global coverage and efficient data transmission. However, current NTNs face challenges, including limited coverage and link quality in direct satellite-to-ground user connections, as well as eavesdropping threats. To address these challenges, a system integrating Reconfigurable Intelligent Surfaces (RIS) with a twin-layer Deep Reinforcement Learning (DRL) algorithm is proposed. This approach aims to satisfy the system’s requirements for high transmission rates and enhanced security, improving the signal strength for legitimate users while facilitating real-time updates and optimization of channel state information in NTNs. Methods First, an RIS-aided downlink NTNs system using an Unmanned Aerial Vehicle (UAV) as a relay is established. To balance the system’s transmission rate and security requirements, the weighted sum of the satellite-to-UAV transmission rate and the secure rate of the legitimate ground user is designed as the system utility, which serves as the optimization objective. A joint optimization method based on the Twin-Twin Delayed Deep Deterministic Policy Gradient (TTD3) algorithm is then proposed. This method jointly optimizes satellite and UAV beamforming, the RIS phase shift matrix, and UAV trajectory. The algorithm divides the optimization problem into two layers for solution. The first-layer DRL optimizes satellite and UAV beamforming, as well as the RIS phase shift matrix. The second-layer DRL optimizes the UAV’s trajectory based on its position, user mobility, and channel state information. The twin DRL shares the same reward function, guiding the agents in each layer to adjust their actions and explore optimal strategies, ultimately enhancing the system’s utility. Results and Discussions (1) Compared to the Deep Deterministic Policy Gradient (DDPG), the proposed TTD3 algorithm exhibits smaller dynamic fluctuations, demonstrating greater stability and robustness (Fig. 2). (2) The UAV trajectory and user secrecy rate performance under four different schemes and algorithms show that the proposed method balances service for legitimate users. The UAV trajectory is smoother compared to that based on DDPG, and the overall user secrecy rate is also higher. This confirms that the proposed method can adapt to dynamically changing NTNs environments while improving user secrecy rates (Fig. 3, Fig. 4). (3) As the number of RIS reflecting elements increases, the degrees of freedom and precision of beamforming improve. Therefore, the overall user secrecy rates of different algorithms increase, resulting in enhanced system performance (Fig. 5). Conclusions This paper investigates an RIS-assisted downlink secure transmission system for NTNs, addressing the presence of eavesdropping threats. To meet the requirements of high transmission rates and security across different scenarios, the optimization objective is formulated as the weighted sum of the transmission rate from the satellite to the UAV and the secrecy rate of legitimate ground users. A TTD3-based joint optimization method for satellite and UAV beamforming, RIS phase shift matrix, and UAV trajectory is proposed. By adopting a twin-layer DRL structure, the beamforming and trajectory optimization subproblems are decoupled to maximize system utility. Simulation results validate the effectiveness of the proposed algorithm. Additionally, comparisons across different algorithms, RIS element counts, and schemes in high-security-demand scenarios demonstrate that the TTD3 algorithm is well-suited for dynamically changing NTNs environments and can significantly enhance system transmission performance. Future research will explore integrating emerging technologies, such as federated learning and meta-learning, to achieve distributed, low-latency policy optimization, thereby facilitating network resource optimization and interference analysis in large-scale, multi-satellite, and multi-UAV complex scenarios. © 2025 Science Press. All rights reserved.","Deep Reinforcement Learning (DRL); Non-Terrestrial Networks (NTNs); Reconfigurable Intelligent Surface (RIS); Secure transmission","Aircraft communication; Amplitude modulation; Antenna grounds; Authentication; Beam forming networks; Data communication systems; Deep learning; Deep reinforcement learning; Digital communication systems; Femtocell; Frequency allocation; Frequency division multiplexing; Frequency selective fading; Global system for mobile communications; HDCP; Interlocking signals; Linear programming; Markov processes; Matrix algebra; Medium access control; Nonlinear programming; Rayleigh fading; Reinforcement learning; Satellite communication systems; Satellite links; Satellite relay systems; Stochastic programming; Aerial vehicle; Deep reinforcement learning; Non-terrestrial network; Reconfigurable; Reconfigurable intelligent surface; Reinforcement learnings; Secure transmission; Terrestrial networks; Transmission rates; Vehicle trajectories; Unmanned aerial vehicles (UAV)","Article","Final","","Scopus","2-s2.0-105000385308"
